company,website,state,careers_url,segment,tier,sheet_verified,notes
Funnel Leasing,https://www.funnelleasing.com,New York,https://www.funnelleasing.com/careers,Multifamily Leasing CRM,A,FALSE,
Convene,https://convene.com,New York,https://convene.com/careers,Flexible Workspace / Meeting Venues,B,TRUE,
Orchard,https://www.orchard.com,New York,https://www.orchard.com/careers,Home Trade-In / Mortgage Fintech,B,FALSE,
Better.com,https://better.com,New York,https://better.com/careers,Digital Mortgage Platform,B,FALSE,
Updater,https://www.updater.com,New York,https://www.updater.com/careers,Moving/Relocation Tech for Property Managers,A,FALSE,
Livly,https://www.livly.io,Illinois,https://www.livly.io/careers,Resident Experience Platform,A,FALSE,
Chamberlain Group,https://www.chamberlaingroup.com,Illinois,https://www.chamberlaingroup.com/careers,Smart Access (myQ/LiftMaster),B,FALSE,
Obie,https://www.obieinsurance.com,Illinois,https://www.obieinsurance.com/careers,Landlord Insurance / Insurtech,A,FALSE,
Avail (Realtor.com),https://www.avail.co,Illinois,https://www.avail.co/careers,DIY Landlord Software,A,FALSE,
HqO,https://www.hqo.com,Massachusetts,https://www.hqo.com/careers,Tenant/Workplace Experience Platform,B,FALSE,
Buildium (RealPage),https://www.buildium.com,Massachusetts,https://www.buildium.com/careers,Property Management Software,A,FALSE,
Placester,https://placester.com,Massachusetts,https://placester.com/careers,Real Estate Agent Website Platform,B,FALSE,
Robin,https://www.robinpowered.com,Massachusetts,https://www.robinpowered.com/careers,Workplace Experience Platform,B,TRUE,
GetCovered,https://getcovered.io,Colorado,https://getcovered.io/careers,Renters Insurance / PropTech-Insurtech,A,FALSE,
TurboTenant,https://www.turbotenant.com,Colorado,https://www.turbotenant.com/careers,Landlord/DIY Property Management Software,A,FALSE,
Homebot,https://www.homebot.ai,Colorado,https://www.homebot.ai/careers,Homeowner Engagement Platform,B,FALSE,
Digible,https://www.digible.com,Colorado,https://www.digible.com/careers,Multifamily Marketing Agency/Tech,A,FALSE,
NetVendor,https://www.netvendor.com,Georgia,https://www.netvendor.com/careers,Vendor Compliance & Insurance Software,A,FALSE,
SmartRent,https://smartrent.com,Arizona,https://smartrent.com/careers,Smart Home / Multifamily IoT,A,TRUE,Greenhouse embedded on smartrent.com/careers/apply; 9 live roles 2026-09-23
Offerpad,https://www.offerpad.com,Arizona,https://www.offerpad.com/careers,iBuying / Real Estate Transactions,B,FALSE,
Opendoor,https://www.opendoor.com,Arizona,https://www.opendoor.com/careers,iBuying / Real Estate Transactions,B,FALSE,
PointCentral,https://www.pointcentral.com,Arizona,https://www.pointcentral.com/careers,Smart Home for SFR (Alarm.com subsidiary),A,FALSE,
Entrata,https://www.entrata.com,Utah,https://www.entrata.com/careers,Property Management Software (AI leasing/payments),A,TRUE,18-22 open roles; ATS Lever (entrata); verified 2026-09-23
Rentec Direct,https://www.rentecdirect.com,Oregon,https://www.rentecdirect.com/careers,Property Management Software,A,FALSE,
Second Nature,https://www.secondnature.com,Tennessee,https://www.secondnature.com/careers,Resident Benefits / Property Management SaaS,A,FALSE,Evan's former company; JazzHR board (secondnature.applytojob.com) live but empty; real roles elsewhere - JS embed; also on Evan's list 2026-09-24
Home365,https://www.home365.co,Nevada,https://www.home365.co/careers,SFR Full-Service Property Management,A,FALSE,
Cecilian Partners,https://www.cecilianpartners.com,Pennsylvania,https://www.cecilianpartners.com/careers,New Home Community Development Software,B,FALSE,
CoStar Group,https://www.costargroup.com,Virginia,https://www.costargroup.com/careers,Real Estate Data & Analytics,B,TRUE,
Alarm.com,https://www.alarm.com,Virginia,https://www.alarm.com/careers,Smart Property / Security Platform,B,TRUE,
Notarize (Proof),https://www.proof.com,Virginia,https://www.proof.com/careers,Remote Online Notarization,B,TRUE,name collision with ProofServe on Greenhouse
Zillow Group,https://www.zillow.com,Washington,https://www.zillow.com/careers,Real Estate Marketplace,B,TRUE,
Redfin,https://www.redfin.com,Washington,https://www.redfin.com/careers,Real Estate Brokerage Tech,B,TRUE,
Knock CRM,https://www.knockrentals.com,Washington,https://www.knockrentals.com/careers,Multifamily Leasing CRM,A,FALSE,
Rocket Companies,https://www.rocketcompanies.com,Michigan,https://www.rocketcompanies.com/careers,Mortgage / Real Estate Fintech,B,TRUE,
Rent Manager (LCS),https://www.rentmanager.com,Ohio,https://www.rentmanager.com/careers,Property Management Software,A,FALSE,
MRI Software,https://www.mrisoftware.com,Ohio,https://www.mrisoftware.com/careers,Real Estate/Property Management Software,A,TRUE,
Density,https://www.density.io,Ohio,https://www.density.io/careers,Occupancy Sensing for Buildings,B,FALSE,
Bright MLS,https://www.brightmls.com,Maryland,https://www.brightmls.com/careers,Real Estate MLS / Listings Data,B,FALSE,
DoorLoop,https://www.doorloop.com,Florida,https://www.doorloop.com/careers,Property Management Software,A,FALSE,6-9 open roles
Envoy,https://envoy.com,California,https://envoy.com/careers,Workplace Experience Platform,B,TRUE,
LeaseLock,https://www.leaselock.com,California,https://www.leaselock.com/careers,Deposit-Free Leasing Insurtech,A,FALSE,
Flock Homes,https://www.flockhomes.com,California,https://www.flockhomes.com/careers,SFR 1031 Exchange Platform,A,FALSE,OpCo sheet
Divvy Homes,https://www.divvyhomes.com,California,https://www.divvyhomes.com/careers,Rent-to-Own Platform,A,FALSE,OpCo sheet
Greystar,https://www.greystar.com,South Carolina,https://www.greystar.com/careers,Multifamily Property Manager,A,TRUE,OpCo sheet
Doorstead,https://www.doorstead.com,California,https://www.doorstead.com/careers,Guaranteed-Rent Property Management,A,FALSE,OpCo sheet
Belong,https://belonghome.com,California,https://belonghome.com/careers,SFR Property Management,A,FALSE,OpCo sheet
Mynd,https://www.mynd.co,California,https://www.mynd.co/careers,SFR Property Management,A,FALSE,"OpCo sheet; MERGE INTO Roofstock - 'Mynd, a Roofstock company'; roles post on Roofstock board"
Renters Warehouse,https://www.renterswarehouse.com,Minnesota,https://www.renterswarehouse.com/careers,SFR Property Management Franchise,A,FALSE,OpCo sheet
Evernest,https://www.evernest.co,Alabama,https://www.evernest.co/careers,SFR Property Management,A,FALSE,OpCo sheet; name collision with Evernest GmbH (Germany) on Greenhouse
Atlas Real Estate,https://realatlas.com,Colorado,https://realatlas.com/careers/,SFR Property Management,A,FALSE,OpCo sheet
PURE HomeRiver Group,https://purehomeriver.com,Idaho,https://purehomeriver.com/company/careers/,SFR Property Management,A,FALSE,OpCo sheet
Northpoint Asset Management,https://northpointam.com,Utah,https://northpointam.com/careers,SFR Property Management,A,FALSE,OpCo sheet
Evergreen Residential,https://evergreenresi.com,Texas,https://evergreenresi.com/careers/,SFR Operator,A,FALSE,OpCo sheet
Property Meld,https://propertymeld.com,South Dakota,https://property-meld.breezy.hr/,Maintenance Coordination Software,A,FALSE,"Evan's list 2026-09-24; Breezy board live, 0 roles on 2026-09-24"
Footprint,https://www.onefootprint.com,New York,https://jobs.ashbyhq.com/onefootprint,Identity Verification / KYC,A,FALSE,Evan's list 2026-09-24; Ashby slug onefootprint (not 'footprint')
Reffie,https://reffie.com,Texas,https://careers.reffie.me/,AI Leasing Workflow,A,FALSE,Evan's list 2026-09-24; custom careers site; 1 role on 2026-09-24
Two Dots,https://www.twodots.com,California,https://jobs.lever.co/twodots,AI Tenant Screening / Underwriting,A,FALSE,Evan's list 2026-09-24; Lever twodots
Haven,https://www.usehaven.ai,New York,https://www.ycombinator.com/companies/haven-2/jobs,AI Workforce for Property Management,A,FALSE,Evan's list 2026-09-24; ASSUMED usehaven.ai (YC W23) - confirm; jobs on YC Work at a Startup
Nutiliti,https://www.nutiliti.com,Texas,https://builtin.com/company/nutiliti/jobs,Utility Management for Property Managers,A,FALSE,Evan's list 2026-09-24; no careers page/ATS; Built In shows 0 jobs
HiredHelpr,https://www.hiredhelpr.com,,https://www.glassdoor.com/Jobs/HiredHelpr-Jobs-E10287326.htm,SFR Maintenance Services Platform,A,FALSE,Evan's list 2026-09-24; no careers page/ATS; roles surface on Glassdoor/LinkedIn only
Mason,https://www.thisismason.com,California,https://www.thisismason.com,AI Maintenance Coordinator (SFR),A,FALSE,"Evan's list 2026-09-24; thisismason.com (Enduring Labs); no ATS, hires by email; ~12k homes"
Super,https://www.hiresuper.com,New York,https://www.hiresuper.com/careers,Voice AI for Property Management,A,FALSE,Evan's list 2026-09-24; hiresuper.com; posts roles at /careers/<slug>; SDR page 404 on 2026-09-24
Boom,https://www.boompay.app,Texas,https://wellfound.com/company/boom-app/jobs,Rent Reporting / Screening / Leasing CRM,A,FALSE,Evan's list 2026-09-24; no careers page/ATS found
AbodeMine,https://www.abodemine.com,Colorado,https://wellfound.com/company/abodemine/jobs,SFR Property Intelligence Data,A,FALSE,Evan's list 2026-09-24; Wellfound shows 0 jobs
Lineage,https://lineage.finance,,https://lineage.finance/careers,Rental Property Investing Platform,A,FALSE,Evan's list 2026-09-24; careers page says no open positions 2026-09-24
Series Homes,https://www.serieshomes.com,Texas,https://www.serieshomes.com,2-4 Unit / House-Hacking Marketplace & Brokerage,A,FALSE,Evan's list 2026-09-24; serieshomes.com (Dallas; TX + CO); no careers page or ATS on 2026-09-24
PropertyManagement.com,https://www.propertymanagement.com,,https://www.propertymanagement.com/careers,Property Management (TBC),A,FALSE,Evan's list 2026-09-24; COMPANY NOT CONFIRMED - no careers page found; ask Evan (could mean PMI / Property Management Inc.)
